Team,Group,Squad Number,Position,Player,Date Of Birth,Age,Caps,Goals,Club,Player Count
Colombia,H,5,MF,Wílmar Barrios,10/16/93,24,10,0,Boca Juniors,1
Colombia,H,6,MF,Carlos Sánchez,2/6/86,32,85,0,Espanyol,1
Colombia,H,7,FW,Carlos Bacca,9/8/86,31,45,14,Villarreal,1
Colombia,H,8,MF,Abel Aguilar,1/6/85,33,70,7,Deportivo Cali,1
Colombia,H,9,FW,Radamel Falcao (captain),2/10/86,32,73,29,Monaco,1
Colombia,H,10,MF,James Rodríguez,7/12/91,26,63,21,Bayern Munich,1
Colombia,H,11,MF,Juan Cuadrado,5/26/88,30,70,7,Juventus,1
Colombia,H,12,GK,Camilo Vargas,3/9/89,29,5,0,Deportivo Cali,1
Colombia,H,13,DF,Yerry Mina,9/23/94,23,12,3,Barcelona,1
Colombia,H,14,FW,Luis Muriel,4/16/91,27,18,2,Sevilla,1
Colombia,H,15,MF,Mateus Uribe,3/21/91,27,8,0,América,1
Colombia,H,16,MF,Jefferson Lerma,10/25/94,23,5,0,Levante,1
Colombia,H,17,DF,Johan Mojica,8/21/92,25,4,1,Girona,1
Colombia,H,18,DF,Frank Fabra,2/22/91,27,19,1,Boca Juniors,1
Colombia,H,19,FW,Miguel Borja,1/26/93,25,7,2,Palmeiras,1
Colombia,H,20,MF,Juan Fernando Quintero,1/18/93,25,15,2,River Plate,1
Colombia,H,21,FW,José Izquierdo,7/7/92,25,5,1,Brighton & Hove Albion,1
Colombia,H,22,GK,José Fernando Cuadrado,6/1/85,33,1,0,Once Caldas,1
Colombia,H,23,DF,Dávinson Sánchez,6/12/96,21,9,0,Tottenham Hotspur,1
Japan,H,1,GK,Eiji Kawashima,3/20/83,35,83,0,Metz,1
Japan,H,2,DF,Naomichi Ueda,10/24/94,23,3,0,Kashima Antlers,1
Japan,H,3,DF,Gen Shoji,12/11/92,25,10,1,Kashima Antlers,1
Japan,H,4,MF,Keisuke Honda,6/13/86,31,94,36,Pachuca,1
Japan,H,5,DF,Yuto Nagatomo,9/12/86,31,104,3,Galatasaray,1
Japan,H,6,DF,Wataru Endo,2/9/93,25,11,0,Urawa Red Diamonds,1
Japan,H,7,MF,Gaku Shibasaki,5/28/92,26,16,3,Getafe,1
Japan,H,8,MF,Genki Haraguchi,5/9/91,27,31,6,Fortuna Düsseldorf,1
Japan,H,9,FW,Shinji Okazaki,4/16/86,32,112,50,Leicester City,1
Japan,H,10,MF,Shinji Kagawa,3/17/89,29,90,29,Borussia Dortmund,1
Japan,H,11,MF,Takashi Usami,5/6/92,26,22,3,Fortuna Düsseldorf,1
Japan,H,12,GK,Masaaki Higashiguchi,5/12/86,32,4,0,Gamba Osaka,1
Japan,H,13,FW,Yoshinori Mutō,7/15/92,25,22,2,Mainz 05,1
Japan,H,14,MF,Takashi Inui,6/2/88,30,25,2,Eibar,1
Japan,H,15,FW,Yuya Osako,5/18/90,28,27,7,1. FC Köln,1
Japan,H,16,MF,Hotaru Yamaguchi,10/6/90,27,41,2,Cerezo Osaka,1
Japan,H,17,MF,Makoto Hasebe (captain),1/18/84,34,109,2,Eintracht Frankfurt,1
Japan,H,18,MF,Ryota Oshima,1/23/93,25,4,0,Kawasaki Frontale,1
Japan,H,19,DF,Hiroki Sakai,4/12/90,28,41,0,Marseille,1
Japan,H,20,DF,Tomoaki Makino,5/11/87,31,31,4,Urawa Red Diamonds,1
Japan,H,21,DF,Gōtoku Sakai,3/14/91,27,39,0,Hamburger SV,1
Japan,H,22,DF,Maya Yoshida,8/24/88,29,81,10,Southampton,1
Japan,H,23,GK,Kosuke Nakamura,2/27/95,23,3,0,Kashiwa Reysol,1
Poland,H,1,GK,Wojciech Szczęsny,4/18/90,28,33,0,Juventus,1
Poland,H,2,DF,Michał Pazdan,9/21/87,30,31,0,Legia Warsaw,1
Poland,H,3,DF,Artur Jędrzejczyk,11/4/87,30,35,3,Legia Warsaw,1
Poland,H,4,DF,Thiago Cionek,4/21/86,32,17,0,SPAL,1
Poland,H,5,DF,Jan Bednarek,4/12/96,22,1,0,Southampton,1
Poland,H,6,MF,Jacek Góralski,9/21/92,25,3,0,Ludogorets Razgrad,1
Poland,H,7,FW,Arkadiusz Milik,2/28/94,24,38,12,Napoli,1
Poland,H,8,MF,Karol Linetty,2/2/95,23,19,1,Sampdoria,1
Poland,H,9,FW,Robert Lewandowski (captain),8/21/88,29,93,52,Bayern Munich,1
Poland,H,10,MF,Grzegorz Krychowiak,1/29/90,28,49,2,West Bromwich Albion,1
Poland,H,11,MF,Kamil Grosicki,6/8/88,29,56,12,Hull City,1
Poland,H,12,GK,Bartosz Białkowski,7/6/87,30,1,0,Ipswich Town,1
Poland,H,13,MF,Maciej Rybus,8/19/89,28,49,2,Lokomotiv Moscow,1
Poland,H,14,FW,Łukasz Teodorczyk,6/3/91,27,15,4,Anderlecht,1
Poland,H,15,DF,Kamil Glik,2/3/88,30,57,4,Monaco,1
Poland,H,16,MF,Jakub Błaszczykowski,12/14/85,32,97,19,VfL Wolfsburg,1
Poland,H,17,MF,Sławomir Peszko,2/19/85,33,43,2,Lechia Gdańsk,1
Poland,H,18,DF,Bartosz Bereszyński,7/12/92,25,6,0,Sampdoria,1
Poland,H,19,MF,Piotr Zieliński,5/20/94,24,31,4,Napoli,1
Poland,H,20,DF,Łukasz Piszczek,6/3/85,33,61,3,Borussia Dortmund,1
Poland,H,21,MF,Rafał Kurzawa,1/29/93,25,3,0,Górnik Zabrze,1
Poland,H,22,GK,Łukasz Fabiański,4/18/85,33,43,0,Swansea City,1
Poland,H,23,FW,Dawid Kownacki,3/14/97,21,1,0,Sampdoria,1
Senegal,H,1,GK,Abdoulaye Diallo,3/30/92,26,16,0,Rennes,1
Senegal,H,2,DF,Saliou Ciss,6/15/89,28,18,0,Valenciennes,1
Senegal,H,3,DF,Kalidou Koulibaly,6/20/91,26,24,0,Napoli,1
Senegal,H,4,DF,Kara Mbodji,11/22/89,28,51,5,Anderlecht,1
Senegal,H,5,MF,Idrissa Gueye,9/26/89,28,59,1,Everton,1
Senegal,H,6,MF,Salif Sané,8/25/90,27,20,0,Hannover 96,1
Senegal,H,7,FW,Moussa Sow,1/19/86,32,50,18,Bursaspor,1
Senegal,H,8,MF,Cheikhou Kouyaté (captain),12/21/89,28,47,2,West Ham United,1
Senegal,H,9,FW,Mame Biram Diouf,12/16/87,30,47,10,Stoke City,1
Senegal,H,10,FW,Sadio Mané,4/10/92,26,51,14,Liverpool,1
Senegal,H,11,MF,Cheikh N'Doye,3/29/86,32,24,3,Birmingham City,1
Senegal,H,12,DF,Youssouf Sabaly,3/5/93,25,3,0,Bordeaux,1
Senegal,H,13,MF,Alfred N'Diaye,3/6/90,28,19,0,Wolverhampton Wanderers,1
Senegal,H,14,FW,Moussa Konaté,4/3/93,25,27,9,Amiens,1
Senegal,H,15,FW,Diafra Sakho,12/24/89,28,10,3,Rennes,1
Senegal,H,16,GK,Khadim N'Diaye,4/5/85,33,25,0,Horoya,1
Senegal,H,17,MF,Badou Ndiaye,10/27/90,27,18,1,Stoke City,1
Senegal,H,18,FW,Ismaïla Sarr,2/25/98,20,14,2,Rennes,1
Senegal,H,19,FW,M'Baye Niang,12/19/94,23,5,0,Torino,1
Senegal,H,20,FW,Keita Baldé,3/8/95,23,17,3,Monaco,1
Senegal,H,21,DF,Lamine Gassama,10/20/89,28,35,0,Alanyaspor,1
Senegal,H,22,DF,Moussa Wagué,10/4/98,19,9,0,Eupen,1
Senegal,H,23,GK,Alfred Gomis,9/5/93,24,1,0,SPAL,1
